external_userid,multiplier,tier,is_recent,click_count_1year,click_count_20day
1023034600,1.2,insufficient_data,True,1,1.0
1720172323,1.2,insufficient_data,True,1,1.0
1558360214,1.2,insufficient_data,True,2,2.0
1801235577,1.2,insufficient_data,True,1,1.0
1134548407,1.2,insufficient_data,True,1,1.0
1457882078,1.2,insufficient_data,True,1,1.0
1215279609,1.2,insufficient_data,True,1,1.0
1265522759,1.2,insufficient_data,True,1,1.0
1801881164,1.2,insufficient_data,True,1,1.0
1629038963,1.2,insufficient_data,True,1,1.0
1003920877,1.2,insufficient_data,True,3,1.0
1902273345,1.2,insufficient_data,True,1,1.0
1609865161,1.2,insufficient_data,True,2,1.0
1699887141,1.2,insufficient_data,True,1,1.0
1013999697,1.2,insufficient_data,True,1,1.0
1134660384,1.2,insufficient_data,True,1,1.0
1598900698,1.2,insufficient_data,True,1,1.0
1053985747,1.2,insufficient_data,True,3,1.0
1851629646,1.2,insufficient_data,True,4,1.0
1770572331,1.2,insufficient_data,True,1,1.0
1184629503,1.2,insufficient_data,True,2,1.0
1043221302,1.2,insufficient_data,True,1,1.0
1639249675,1.2,insufficient_data,True,2,1.0
1609058791,1.2,insufficient_data,True,1,1.0
1669635694,1.2,insufficient_data,True,2,1.0
1558378943,1.2,insufficient_data,True,1,1.0
1467568485,1.2,insufficient_data,True,1,1.0
1265487391,1.2,insufficient_data,True,1,1.0
1043230568,1.2,insufficient_data,True,1,1.0
1447292339,1.2,insufficient_data,True,1,1.0
1891873808,1.2,insufficient_data,True,1,1.0
1881087922,1.2,insufficient_data,True,1,1.0
1801832720,1.2,insufficient_data,True,3,1.0
1750420758,1.2,insufficient_data,True,1,1.0
1487810958,1.2,insufficient_data,True,4,1.0
1790233997,1.2,insufficient_data,True,1,1.0
1477582013,1.2,insufficient_data,True,1,1.0
1073511077,1.2,insufficient_data,True,1,1.0
1356344261,1.2,insufficient_data,True,3,1.0
1407381148,1.2,insufficient_data,True,1,1.0
1124436217,1.2,insufficient_data,True,1,1.0
1194989822,1.2,insufficient_data,True,1,1.0
1659355238,1.2,insufficient_data,True,1,1.0
1407802390,1.2,insufficient_data,True,1,1.0
1275624744,1.2,insufficient_data,True,4,1.0
1629536974,1.2,insufficient_data,True,2,2.0
1770766479,1.2,insufficient_data,True,1,1.0
1417942244,1.2,insufficient_data,True,1,1.0
1760749881,1.2,insufficient_data,True,1,1.0
1356612352,1.2,insufficient_data,True,3,2.0
1285698670,1.2,insufficient_data,True,1,1.0
1932280906,1.2,insufficient_data,True,1,1.0
1679812374,1.2,insufficient_data,True,1,1.0
1336147651,1.2,insufficient_data,True,1,1.0
1134358716,1.2,insufficient_data,True,3,1.0
1548295876,1.2,insufficient_data,True,4,1.0
1023103264,1.2,insufficient_data,True,1,1.0
1770516635,1.2,insufficient_data,True,4,1.0
1336229699,1.2,insufficient_data,True,3,1.0
1326518945,1.2,insufficient_data,True,1,1.0
1932259652,1.2,insufficient_data,True,2,1.0
1093882052,1.2,insufficient_data,True,2,2.0
1225389505,1.2,insufficient_data,True,2,1.0
1154631422,1.2,insufficient_data,True,2,1.0
1255614830,1.2,insufficient_data,True,2,1.0
1720212566,1.2,insufficient_data,True,1,1.0
1568432888,1.2,insufficient_data,True,2,1.0
1952622771,1.2,insufficient_data,True,1,1.0
1649662032,1.2,insufficient_data,True,1,1.0
1932182110,1.2,insufficient_data,True,1,1.0
1154588440,1.2,insufficient_data,True,1,1.0
1881604882,1.2,insufficient_data,True,1,1.0
1285734855,1.2,insufficient_data,True,1,1.0
1336252196,1.2,insufficient_data,True,2,1.0
1104165802,1.2,insufficient_data,True,1,1.0
1821316621,1.2,insufficient_data,True,3,1.0
1104391689,1.2,insufficient_data,True,2,2.0
1407806318,1.2,insufficient_data,True,1,1.0
