domain,tier,multiplier,bids,views,clicks,shrunk_rate
steelernation.com,cream,1.15,1268,191,191,0.148988
kitv.com,cream,1.15,106,18,18,0.149903
hardcoresledder.com,cream,1.15,39,8,8,0.150534
profootballrumors.com,cream,1.15,335,55,55,0.157224
healingslice.com,cream,1.15,787,120,120,0.1498
timesfreepress.com,cream,1.15,474,77,77,0.157514
hubpages.com,cream,1.15,660,107,107,0.158532
nbadraft.net,cream,1.15,50,10,10,0.154835
posturedirect.com,cream,1.15,211,37,37,0.163431
boxingforum24.com,cream,1.15,93,18,18,0.165747
kitco.com,cream,1.15,122,21,21,0.153861
wjtv.com,cream,1.15,461,74,74,0.155574
staugustine.com,cream,1.15,169,30,30,0.162748
neurolaunch.com,cream,1.15,158,27,27,0.156313
deafvideo.tv,cream,1.15,39,8,8,0.150534
cbsnews.com,cream,1.15,3193,500,500,0.155876
fox10phoenix.com,cream,1.15,58,11,11,0.152123
cartalk.com,cream,1.15,244,39,39,0.151047
nutritionconsabor.com,cream,1.15,31,7,7,0.153882
mystateline.com,cream,1.15,191,31,31,0.151072
wfft.com,cream,1.15,79,14,14,0.150338
houseoutlook.com,cream,1.15,470,75,75,0.154774
fox2detroit.com,cream,1.15,627,103,103,0.160406
systemrequirementslab.com,cream,1.15,30,7,7,0.156447
townhall.com,cream,1.15,54,10,10,0.147462
knowt.com,cream,1.15,124,22,22,0.158356
korrashay.com,cream,1.15,42,9,9,0.15815
ilovefacts.net,cream,1.15,540,84,84,0.151556
hoopsrumors.com,cream,1.15,330,52,52,0.151075
pix11.com,cream,1.15,1499,227,227,0.150024
wearegreenbay.com,cream,1.15,700,105,105,0.147105
splashtravels.com,cream,1.15,43,9,9,0.155984
gameslearningsociety.org,cream,1.15,32,7,7,0.1514
teachmeobgyn.com,cream,1.15,34,7,7,0.146669
chicitysports.com,cream,1.15,150,25,25,0.152149
dinewithdrinks.com,cream,1.15,33,7,7,0.148997
grizly.com,cream,1.15,101,18,18,0.155625
fox40.com,cream,1.15,204,33,33,0.151226
familyproof.com,cream,1.15,161,27,27,0.153858
