geo_region_name,browser_code,suggested_bid_cpm
Pennsylvania,46,6.72
Pennsylvania,100,6.18
Pennsylvania,137,8.05
Pennsylvania,143,5.79
Pennsylvania,144,5.79
Pennsylvania,145,8.05
Pennsylvania,146,5.79
Pennsylvania,149,8.05
Pennsylvania,150,5.71
Rhode Island,-1,8.05
Rhode Island,5,8.05
Rhode Island,14,7.51
Rhode Island,46,8.05
Rhode Island,100,8.05
Rhode Island,143,6.26
Rhode Island,144,6.26
Rhode Island,146,8.05
Rhode Island,150,7.56
South Carolina,-1,7.56
South Carolina,5,8.05
South Carolina,14,7.81
South Carolina,46,7.56
South Carolina,100,7.04
South Carolina,143,6.65
South Carolina,144,6.65
South Carolina,145,8.05
South Carolina,146,6.57
South Carolina,150,6.57
South Dakota,14,7.66
South Dakota,46,8.05
South Dakota,100,8.05
South Dakota,143,6.42
South Dakota,144,6.42
South Dakota,145,8.05
South Dakota,146,7.56
Tennessee,-1,7.56
Tennessee,5,8.05
Tennessee,14,7.51
Tennessee,46,7.56
Tennessee,100,7.56
Tennessee,143,6.26
Tennessee,144,6.26
Tennessee,145,8.05
Tennessee,146,6.26
Tennessee,150,6.18
Texas,-1,7.56
Texas,5,7.56
Texas,14,7.89
Texas,46,7.58
Texas,100,7.11
Texas,137,8.05
Texas,143,6.72
Texas,144,6.65
Texas,145,8.05
Texas,146,6.65
Texas,150,6.65
Unknown,-1,7.56
Unknown,5,8.05
Unknown,14,7.51
Unknown,46,8.05
Unknown,100,7.56
Unknown,121,7.56
Unknown,143,6.26
Unknown,144,6.26
Unknown,146,7.56
Unknown,150,7.56
Utah,-1,8.05
Utah,5,8.05
Utah,14,7.34
Utah,46,8.05
Utah,100,8.05
Utah,143,6.1
Utah,144,6.1
Utah,146,8.05
Utah,150,6.03
Vermont,-1,8.05
Vermont,5,8.05
Vermont,14,7.66
Vermont,46,8.05
Vermont,100,7.56
Vermont,143,6.5
Vermont,144,6.5
Vermont,146,8.05
Vermont,150,7.56
Virginia,-1,7.56
Virginia,5,7.56
Virginia,14,7.27
Virginia,46,6.96
Virginia,100,6.5
Virginia,137,8.05
Virginia,143,6.03
Virginia,144,6.03
Virginia,145,8.05
Virginia,146,6.03
Virginia,150,5.95
Washington,14,7.11
Washington,46,8.05
Washington,100,7.56
Washington,137,8.05
Washington,143,5.88
Washington,144,5.88
Washington,146,8.05
Washington,150,7.56
West Virginia,-1,8.05
West Virginia,14,7.73
West Virginia,46,7.56
West Virginia,100,7.56
West Virginia,143,6.5
West Virginia,144,6.5
West Virginia,146,6.5
West Virginia,150,7.56
Wisconsin,-1,7.56
Wisconsin,5,8.67
Wisconsin,14,8.59
Wisconsin,46,7.56
Wisconsin,100,7.73
Wisconsin,143,7.34
Wisconsin,144,7.34
Wisconsin,145,8.05
Wisconsin,146,7.34
Wisconsin,150,7.27
Wyoming,5,8.05
Wyoming,14,7.51
Wyoming,46,8.05
Wyoming,100,8.05
Wyoming,143,6.33
Wyoming,144,7.56
Wyoming,146,8.05
Wyoming,150,8.05
